Row_ID,Insurer,Category,Product_Name,Variant,PPT,PT,Base_Payout_Yr1,Renewal_Yr2,Renewal_Yr3,Renewal_Yr4,Renewal_Yr5,Renewal_Yr6_Plus,Row_Specific_Remarks,Sheet_Level_Notes_And_Conditions,All_Renewal_Years_Raw
21,TATA_AIA,Protection,SRP - Life Plus(Offline),,2,-,0.14,0.015,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 1.5%
22,TATA_AIA,Protection,SRP - Life Plus(Offline),,3,-,0.17,0.02,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 2%
23,TATA_AIA,Protection,SRP - Life Plus(Offline),,4,-,0.2,0.02,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 2%
24,TATA_AIA,Protection,SRP - Life Plus(Offline),,5,-,0.34,0.04,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 4%
25,TATA_AIA,Protection,SRP - Life Plus(Offline),,6,-,0.35,0.04,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 4%
26,TATA_AIA,Protection,SRP - Life Plus(Offline),,7 - 9,-,0.36,0.04,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 4%
27,TATA_AIA,Protection,SRP - Life Plus(Offline),,10,-,0.375,0.045,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 4.5%
28,TATA_AIA,Protection,SRP - Life Plus(Offline),,11,-,0.375,0.045,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 4.5%
29,TATA_AIA,Protection,SRP - Life Plus(Offline),,12,-,0.395,0.045,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 4.5%
30,TATA_AIA,Protection,SRP - Life Plus(Offline),,13,-,0.415,0.05,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 5%
31,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,2,-,0.075,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
32,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,3,-,0.11,0.01,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 1%
33,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,4,-,0.14,0.015,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 1.5%
34,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,5,-,0.275,0.03,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 3%
35,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,6,-,0.285,0.03,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 3%
36,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,7 - 9,-,0.3,0.035,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 3.5%
37,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,10,-,0.31,0.035,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 3.5%
38,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,11,-,0.31,0.035,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 3.5%
39,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,12,-,0.33,0.04,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 4%
40,TATA_AIA,Protection,SRP - Life Plus(Digital Discount),,13,-,0.35,0.04,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 4%
